actual,nn_predicted,naive_predicted
3588.0,3979.709,4908.0
3599.0,3990.509,4391.0
3932.0,4250.777,3913.0
4249.0,4469.194,3662.0
4261.0,4559.4536,3076.0
4215.0,4548.1167,2586.0
4454.0,4728.2495,2103.0
4417.0,4693.3003,1676.0
4424.0,4660.81,1417.0
4317.0,4552.439,1268.0
4128.0,4388.436,1181.0
3819.0,4102.57,1132.0
3655.0,3957.258,1043.0
3422.0,3720.5515,1097.0
3217.0,3541.7234,1247.0
3073.0,3388.6206,1430.0
2872.0,3212.237,1636.0
2724.0,3077.6829,2023.0
2580.0,2946.1438,2301.0
2264.0,2651.3528,2526.0
2131.0,2543.0398,2841.0
1920.0,2361.8909,3090.0
1829.0,2300.7996,3282.0
1786.0,2337.3306,3464.0
1634.0,2224.4197,3588.0
1576.0,2194.239,3599.0
1517.0,2134.6848,3932.0
1429.0,2048.0278,4249.0
1333.0,1948.5421,4261.0
1140.0,1768.6427,4215.0
1018.0,1658.3505,4454.0
943.0,1574.6124,4417.0
884.0,1467.266,4424.0
881.0,1461.9669,4317.0
848.0,1429.0638,4128.0
777.0,1356.8457,3819.0
699.0,1282.3312,3655.0
610.0,1218.049,3422.0
562.0,1177.1165,3217.0
523.0,1124.0524,3073.0
517.0,1108.9308,2872.0
446.0,1055.4818,2724.0
456.0,1052.0125,2580.0
461.0,1051.0933,2264.0
506.0,1073.7894,2131.0
614.0,1163.1954,1920.0
693.0,1236.8685,1829.0
806.0,1359.8759,1786.0
1082.0,1601.5189,1634.0
1276.0,1789.7882,1576.0
1693.0,2170.0002,1517.0
1903.0,2372.7605,1429.0
2270.0,2728.5452,1333.0
2158.0,2621.2295,1140.0
2357.0,2811.172,1018.0
2302.0,2739.3948,943.0
2167.0,2579.7537,884.0
2058.0,2480.3315,881.0
2123.0,2482.8835,848.0
1942.0,2327.1638,777.0
1831.0,2233.5134,699.0
1573.0,1943.6112,610.0
1321.0,1710.8325,562.0
1202.0,1557.0261,523.0
1132.0,1491.8749,517.0
1123.0,1427.8291,446.0
1135.0,1445.5773,456.0
1223.0,1520.4205,461.0
1356.0,1647.3646,506.0
1598.0,1872.1166,614.0
1998.0,2256.0984,693.0
2407.0,2678.0593,806.0
2726.0,2994.2776,1082.0
3115.0,3355.6443,1276.0
3791.0,4015.1406,1693.0
4336.0,4563.619,1903.0
4729.0,4932.2144,2270.0
5137.0,5334.1187,2158.0
5252.0,5448.576,2357.0
5689.0,5886.361,2302.0
6248.0,6365.3833,2167.0
6630.0,6706.994,2058.0
6766.0,6840.5093,2123.0
5902.0,6053.2314,1942.0
4863.0,4991.3154,1831.0
4112.0,4303.446,1573.0
3576.0,3793.1667,1321.0
3588.0,3780.4375,1202.0
3760.0,3942.3328,1132.0
3743.0,3926.5593,1123.0
3716.0,3984.9202,1135.0
3666.0,3936.8298,1223.0
3536.0,3816.378,1356.0
3526.0,3807.803,1598.0
3230.0,3589.9773,1998.0
3052.0,3455.5034,2407.0
2733.0,3186.8367,2726.0
2442.0,2881.8547,3115.0
2140.0,2584.0115,3791.0
2091.0,2526.6555,4336.0
2421.0,2853.8438,4729.0
2068.0,2544.695,5137.0
1883.0,2429.9426,5252.0
1819.0,2384.5051,5689.0
1673.0,2233.262,6248.0
1435.0,2002.0851,6630.0
1401.0,1987.3422,6766.0
1421.0,1990.7328,5902.0
1354.0,1902.4486,4863.0
1372.0,1887.8732,4112.0
1571.0,2053.3132,3576.0
1615.0,2060.8606,3588.0
1574.0,2016.2074,3760.0
1706.0,2133.136,3743.0
1750.0,2176.7131,3716.0
1718.0,2157.0933,3666.0
1528.0,1991.7882,3536.0
1438.0,1927.0743,3526.0
1344.0,1852.153,3230.0
1328.0,1836.4308,3052.0
1276.0,1777.3734,2733.0
1098.0,1635.4645,2442.0
1010.0,1551.3916,2140.0
950.0,1480.5565,2091.0
820.0,1393.2124,2421.0
891.0,1467.2874,2068.0
862.0,1458.859,1883.0
927.0,1477.8257,1819.0
963.0,1505.3241,1673.0
983.0,1517.7775,1435.0
1054.0,1576.4215,1401.0
1067.0,1598.4745,1421.0
1031.0,1495.9052,1354.0
992.0,1539.7649,1372.0
1081.0,1500.2006,1571.0
1015.0,1441.7566,1615.0
1103.0,1509.9347,1574.0
1156.0,1558.6294,1706.0
1153.0,1552.4904,1750.0
1067.0,1546.3544,1718.0
915.0,1416.3258,1528.0
820.0,1332.646,1438.0
691.0,1222.7771,1344.0
590.0,1158.8557,1328.0
518.0,1111.6105,1276.0
494.0,1121.2977,1098.0
527.0,1140.3192,1010.0
587.0,1176.0221,950.0
551.0,1143.7914,820.0
547.0,1129.4816,891.0
548.0,1212.6132,862.0
578.0,1245.2057,927.0
664.0,1322.8107,963.0
788.0,1410.1699,983.0
1054.0,1658.0038,1054.0
1261.0,1849.4579,1067.0
1482.0,2050.5767,1031.0
1983.0,2496.3547,992.0
2424.0,2908.207,1081.0
2823.0,3248.7522,1015.0
3777.0,4161.727,1103.0
4251.0,4630.453,1156.0
4792.0,5148.483,1153.0
5107.0,5358.905,1067.0
5140.0,5275.312,915.0
4064.0,4257.8223,820.0
3864.0,4088.5583,691.0
4752.0,4926.9927,590.0
4764.0,4860.8267,518.0
4834.0,5031.336,494.0
5094.0,5274.7285,527.0
5157.0,5324.1934,587.0
5080.0,5238.8296,551.0
4946.0,5118.8647,547.0
4691.0,4889.445,548.0
4952.0,5137.849,578.0
4789.0,5049.561,664.0
4755.0,5052.1953,788.0
4646.0,4940.4517,1054.0
4600.0,4892.1294,1261.0
4339.0,4654.7554,1482.0
4191.0,4504.592,1983.0
4936.0,5217.1626,2424.0
5013.0,5287.3833,2823.0
5282.0,5566.691,3777.0
4976.0,5294.763,4251.0
5004.0,5342.645,4792.0
5063.0,5396.315,5107.0
4826.0,5165.4004,5140.0
4850.0,5161.3184,4064.0
4985.0,5285.557,3864.0
5051.0,5386.5337,4752.0
5470.0,5782.4507,4764.0
5733.0,6033.144,4834.0
5873.0,6153.2954,5094.0
5506.0,5797.8486,5157.0
3776.0,4178.0693,5080.0
4787.0,5124.5815,4946.0
3908.0,4293.5093,4691.0
3812.0,4213.4976,4952.0
3865.0,4255.9697,4789.0
3892.0,4261.8716,4755.0
4041.0,4402.166,4646.0
4956.0,5261.803,4600.0
5646.0,5897.2573,4339.0
5654.0,5888.371,4191.0
5061.0,5329.6235,4936.0
4684.0,4947.329,5013.0
4483.0,4752.2036,5282.0
4683.0,4934.6562,4976.0
4902.0,5140.638,5004.0
4879.0,5123.2915,5063.0
5019.0,5265.9326,4826.0
5198.0,5420.414,4850.0
5090.0,5315.5166,4985.0
5520.0,5742.133,5051.0
5832.0,6072.2417,5470.0
6399.0,6631.4966,5733.0
7012.0,7145.27,5873.0
7393.0,7482.6973,5506.0
7137.0,7206.3306,3776.0
6851.0,6948.7896,4787.0
6722.0,6819.951,3908.0
7166.0,7234.378,3812.0
6823.0,6941.3833,3865.0
6156.0,6344.1177,3892.0
4888.0,5177.0254,4041.0
4658.0,4989.6543,4956.0
4448.0,4803.981,5646.0
4258.0,4609.8535,5654.0
2930.0,3369.077,5061.0
2088.0,2552.076,4684.0
2409.0,2854.4,4483.0
2603.0,3023.7507,4683.0
1590.0,2109.3,4902.0
2348.0,2831.0935,4879.0
2102.0,2606.6738,5019.0
2029.0,2546.6829,5198.0
1914.0,2446.1863,5090.0
1833.0,2389.3406,5520.0
1981.0,2530.448,5832.0
1796.0,2347.8142,6399.0
1706.0,2273.3362,7012.0
1654.0,2217.8606,7393.0
1735.0,2302.0564,7137.0
1810.0,2383.364,6851.0
2048.0,2594.5784,6722.0
2275.0,2782.7239,7166.0
2022.0,2568.9456,6823.0
2060.0,2593.9822,6156.0
2186.0,2694.7058,4888.0
2170.0,2707.0833,4658.0
2233.0,2777.3298,4448.0
2211.0,2786.9197,4258.0
2106.0,2662.5203,2930.0
1824.0,2362.7598,2088.0
1941.0,2474.696,2409.0
1825.0,2379.1426,2603.0
1657.0,2209.3572,1590.0
1517.0,2097.5933,2348.0
1457.0,2036.7179,2102.0
1324.0,1911.211,2029.0
1278.0,1865.8685,1914.0
1174.0,1776.2797,1833.0
1194.0,1797.7534,1981.0
1207.0,1776.8036,1796.0
1264.0,1824.1158,1706.0
1363.0,1883.2015,1654.0
1534.0,2044.5657,1735.0
1730.0,2236.599,1810.0
1854.0,2350.82,2048.0
1742.0,2295.6223,2275.0
1656.0,2172.7148,2022.0
1694.0,2167.6528,2060.0
1662.0,2143.4097,2186.0
1658.0,2134.1365,2170.0
1563.0,2030.0485,2233.0
1589.0,2039.6218,2211.0
1508.0,1950.1254,2106.0
1478.0,1881.9869,1824.0
1423.0,1825.2665,1941.0
1413.0,1815.8761,1825.0
1340.0,1765.5693,1657.0
