utc_timestamp,predicted_energy_generation,Battery_Level,Battery_Action,Smoothed_Battery_Level
2015-01-07 23:00:00+00:00,6502.3735,7848.486369601844,Store,2732.324246401229
2015-01-08 00:00:00+00:00,6239.337,8348.486369601844,Store,3080.1778451346395
2015-01-08 01:00:00+00:00,6102.5063,8848.486369601844,Store,3448.864777201383
2015-01-08 02:00:00+00:00,5853.672,9197.029572567499,Store,3832.0743427250286
2015-01-08 03:00:00+00:00,5957.4546,9638.783345628257,Store,4233.690315459539
2015-01-08 04:00:00+00:00,5855.167,9988.284520263132,Store,4649.86883713717
2015-01-08 05:00:00+00:00,5649.0947,10152.1268780516,Store,5072.874123722653
2015-01-08 06:00:00+00:00,5747.4727,10404.3157006736,Store,5506.387277917387
2015-01-08 07:00:00+00:00,5706.595,10619.520869909518,Store,5948.867314163616
2015-01-08 08:00:00+00:00,5366.7866,10507.402225132566,Discharge,6372.155474810729
2015-01-08 09:00:00+00:00,4791.0767,10007.402225132566,Discharge,6753.776968791176
2015-01-08 10:00:00+00:00,4354.5537,9507.402225132566,Discharge,7093.731796104956
2015-01-08 11:00:00+00:00,4848.626,9007.402225132566,Discharge,7392.019956752069
2015-01-08 12:00:00+00:00,5924.915,9418.126957659266,Store,7686.588314587796
2015-01-08 13:00:00+00:00,6675.9272,9918.126957659266,Store,7981.156672423523
2015-01-08 14:00:00+00:00,6853.558,10418.126957659266,Store,8275.725030259247
2015-01-08 15:00:00+00:00,6438.4116,10918.126957659266,Store,8570.293388094973
2015-01-08 16:00:00+00:00,6428.4004,11418.126957659266,Store,8864.861745930699
2015-01-08 17:00:00+00:00,6104.841,11918.126957659266,Store,9159.430103766426
2015-01-08 18:00:00+00:00,6184.4214,12418.126957659266,Store,9453.998461602152
2015-01-08 19:00:00+00:00,6722.368,12918.126957659266,Store,9748.566819437878
2015-01-08 20:00:00+00:00,6716.2266,13418.126957659266,Store,10043.135177273603
2015-01-08 21:00:00+00:00,6184.4214,13918.126957659266,Store,10337.70353510933
2015-01-08 22:00:00+00:00,6160.116,14418.126957659266,Store,10632.271892945055
2015-01-08 23:00:00+00:00,5454.049,14399.381129431704,Discharge,10905.2258412713
2015-01-09 00:00:00+00:00,4911.805,13899.381129431704,Discharge,11136.513122930875
2015-01-09 01:00:00+00:00,5277.9517,13684.493854382461,Discharge,11338.013434796738
2015-01-09 02:00:00+00:00,5344.8394,13543.687381208138,Discharge,11519.12417682343
2015-01-09 03:00:00+00:00,5155.46,13192.22050470882,Discharge,11667.184058451787
2015-01-09 04:00:00+00:00,5002.6406,12692.22050470882,Discharge,11779.84805780369
2015-01-09 05:00:00+00:00,4788.576,12192.22050470882,Discharge,11864.851958914407
2015-01-09 06:00:00+00:00,5489.969,12208.010118396154,Store,11940.005892986179
2015-01-09 07:00:00+00:00,6104.992,12708.010118396154,Store,12027.02627833979
2015-01-09 08:00:00+00:00,6394.943,13208.010118396154,Store,12139.551607225774
2015-01-09 09:00:00+00:00,6177.6133,13708.010118396154,Store,12293.743602778422
2015-01-09 10:00:00+00:00,6604.5303,14208.010118396154,Store,12489.602264997739
2015-01-09 11:00:00+00:00,6944.386,14708.010118396154,Store,12727.12759388372
2015-01-09 12:00:00+00:00,7219.217,15000.0,Store,12959.705637314584
2015-01-09 13:00:00+00:00,7325.3364,15000.0,Store,13171.450347412116
2015-01-09 14:00:00+00:00,6927.4233,15000.0,Store,13362.361724176313
2015-01-09 15:00:00+00:00,6108.6494,15000.0,Store,13532.439767607177
2015-01-09 16:00:00+00:00,6233.303,15000.0,Store,13681.684477704708
2015-01-09 17:00:00+00:00,6498.867,15000.0,Store,13810.095854468906
2015-01-09 18:00:00+00:00,7024.843,15000.0,Store,13917.67389789977
2015-01-09 19:00:00+00:00,7101.299,15000.0,Store,14004.4186079973
