actual,xgboost_predicted,naive_predicted
3784.0,3225.0698,3495.0
3450.0,2983.0188,3518.0
3345.0,2898.7607,3543.0
3556.0,3057.6064,3385.0
2961.0,2546.7542,3546.0
2952.0,2546.7542,3679.0
2193.0,1993.4958,3777.0
2498.0,2205.611,3842.0
2629.0,2305.0862,3964.0
2942.0,2525.9592,4013.0
3041.0,2618.449,3992.0
3153.0,2739.3423,3871.0
3218.0,2748.0942,3929.0
3100.0,2684.3274,3926.0
3266.0,2797.5994,3903.0
3305.0,2840.2317,4015.0
3264.0,2797.5994,4079.0
3716.0,3184.114,4052.0
3901.0,3286.615,3721.0
3964.0,3322.2886,1911.0
3994.0,3390.2466,3701.0
4008.0,3390.2466,3580.0
3817.0,3259.6638,3727.0
3496.0,2998.663,3758.0
3349.0,2898.7607,3784.0
3292.0,2803.0242,3450.0
3170.0,2748.0942,3345.0
2945.0,2525.9592,3556.0
2820.0,2451.7947,2961.0
2766.0,2402.0537,2952.0
2700.0,2343.177,2193.0
2391.0,2113.7097,2498.0
1947.0,1803.8168,2629.0
1585.0,1553.5056,2942.0
1441.0,1450.7535,3041.0
1115.0,1209.1173,3153.0
935.0,1063.9822,3218.0
890.0,1047.0857,3100.0
1008.0,1124.8892,3266.0
1096.0,1201.0316,3305.0
1144.0,1226.1647,3264.0
1367.0,1392.5992,3716.0
1426.0,1431.501,3901.0
1550.0,1511.8663,3964.0
1683.0,1615.1262,3994.0
1853.0,1713.7687,4008.0
2050.0,1876.2638,3817.0
2064.0,1889.8496,3496.0
2166.0,1965.354,3349.0
2323.0,2063.1426,3292.0
2644.0,2305.0862,3170.0
2986.0,2567.4043,2945.0
3165.0,2739.3423,2820.0
3328.0,2884.255,2766.0
3679.0,3147.7532,2700.0
3783.0,3225.0698,2391.0
3794.0,3225.0698,1947.0
3726.0,3184.114,1585.0
3655.0,3120.0432,1441.0
3285.0,2803.0242,1115.0
3168.0,2739.3423,935.0
3098.0,2684.3274,890.0
3067.0,2646.0881,1008.0
3001.0,2567.4043,1096.0
2921.0,2519.2468,1144.0
2848.0,2474.1824,1367.0
2809.0,2408.4153,1426.0
2766.0,2402.0537,1550.0
2762.0,2388.2412,1683.0
2811.0,2408.4153,1853.0
2713.0,2343.177,2050.0
2363.0,2099.338,2064.0
2078.0,1889.8496,2166.0
1836.0,1713.7687,2323.0
1741.0,1656.1202,2644.0
1595.0,1553.5056,2986.0
1587.0,1553.5056,3165.0
1601.0,1558.9655,3328.0
1536.0,1511.8663,3679.0
1390.0,1418.374,3783.0
1185.0,1251.9006,3794.0
1020.0,1146.0511,3726.0
860.0,1019.715,3655.0
740.0,929.2532,3285.0
651.0,867.2566,3168.0
519.0,772.5982,3098.0
481.0,755.0362,3067.0
491.0,755.0362,3001.0
489.0,755.0362,2921.0
523.0,783.65295,2848.0
484.0,755.0362,2809.0
486.0,755.0362,2766.0
503.0,763.7123,2762.0
479.0,755.0362,2811.0
478.0,743.40674,2713.0
539.0,793.32904,2363.0
552.0,793.32904,2078.0
568.0,803.38715,1836.0
570.0,803.38715,1741.0
569.0,803.38715,1595.0
785.0,961.528,1587.0
1040.0,1151.3615,1601.0
