actual,xgboost_predicted,naive_predicted
788.0,1427.5057,983.0
1054.0,1614.3153,1054.0
1261.0,1741.4126,1067.0
1482.0,1888.6646,1031.0
1983.0,2247.0283,992.0
2424.0,2563.2869,1081.0
2823.0,2877.1208,1015.0
3777.0,3552.8132,1103.0
4251.0,3883.7332,1156.0
4792.0,4295.6743,1153.0
5107.0,4494.8164,1067.0
5140.0,4544.8516,915.0
4064.0,3777.0144,820.0
3864.0,3644.6963,691.0
4752.0,4249.461,590.0
4764.0,4249.461,518.0
4834.0,4321.398,494.0
5094.0,4494.8164,527.0
5157.0,4571.8213,587.0
5080.0,4494.8164,551.0
4946.0,4393.285,547.0
4691.0,4212.01,548.0
4952.0,4393.285,578.0
4789.0,4295.6743,664.0
4755.0,4249.461,788.0
4646.0,4212.9116,1054.0
4600.0,4130.328,1261.0
4339.0,3947.4875,1482.0
4191.0,3824.7507,1983.0
4936.0,4390.3374,2424.0
5013.0,4438.786,2823.0
5282.0,4616.4536,3777.0
4976.0,4437.7065,4251.0
5004.0,4437.7065,4792.0
5063.0,4454.4395,5107.0
4826.0,4299.9697,5140.0
4850.0,4321.398,4064.0
4985.0,4437.7065,3864.0
5051.0,4454.4395,4752.0
5470.0,4775.237,4764.0
5733.0,4956.6562,4834.0
5873.0,5051.658,5094.0
5506.0,4763.085,5157.0
3776.0,3552.8132,5080.0
4787.0,4295.6743,4946.0
3908.0,3662.0442,4691.0
3812.0,3586.0916,4952.0
3865.0,3644.6963,4789.0
3892.0,3649.2844,4755.0
4041.0,3757.994,4646.0
4956.0,4393.285,4600.0
5646.0,4855.8965,4339.0
5654.0,4855.8965,4191.0
5061.0,4454.4395,4936.0
4684.0,4212.6753,5013.0
4483.0,4050.9414,5282.0
4683.0,4212.6753,4976.0
4902.0,4390.3374,5004.0
4879.0,4349.8843,5063.0
5019.0,4438.786,4826.0
5198.0,4575.1753,4850.0
5090.0,4494.8164,4985.0
5520.0,4763.085,5051.0
5832.0,4988.3457,5470.0
6399.0,5403.8516,5733.0
7012.0,5788.1357,5873.0
7393.0,5918.03,5506.0
7137.0,5866.0957,3776.0
6851.0,5706.0684,4787.0
6722.0,5693.361,3908.0
7166.0,5884.7197,3812.0
6823.0,5706.0684,3865.0
6156.0,5256.584,3892.0
4888.0,4349.8843,4041.0
4658.0,4212.9116,4956.0
4448.0,4026.1694,5646.0
4258.0,3906.542,5654.0
2930.0,2927.4644,5061.0
2088.0,2310.7668,4684.0
2409.0,2559.9182,4483.0
2603.0,2702.7761,4683.0
1590.0,1957.392,4902.0
2348.0,2478.717,4879.0
2102.0,2320.3213,5019.0
2029.0,2258.4583,5198.0
1914.0,2184.9553,5090.0
1833.0,2133.3792,5520.0
1981.0,2247.0283,5832.0
1796.0,2109.9438,6399.0
1706.0,2026.8408,7012.0
1654.0,2007.5665,7393.0
1735.0,2038.7957,7137.0
1810.0,2109.9438,6851.0
2048.0,2271.2212,6722.0
2275.0,2445.541,7166.0
2022.0,2258.4583,6823.0
2060.0,2304.1892,6156.0
2186.0,2358.821,4888.0
2170.0,2358.821,4658.0
2233.0,2432.366,4448.0
2211.0,2416.8691,4258.0
2106.0,2320.3213,2930.0
1824.0,2115.1519,2088.0
1941.0,2210.4587,2409.0
1825.0,2115.1519,2603.0
1657.0,2007.5665,1590.0
1517.0,1895.0432,2348.0
1457.0,1874.7504,2102.0
1324.0,1774.1545,2029.0
1278.0,1746.3431,1914.0
1174.0,1663.1432,1833.0
1194.0,1704.8989,1981.0
1207.0,1705.7491,1796.0
1264.0,1741.4126,1706.0
1363.0,1821.1399,1654.0
1534.0,1917.3009,1735.0
1730.0,2038.7957,1810.0
1854.0,2142.3782,2048.0
1742.0,2053.6636,2275.0
1656.0,2007.5665,2022.0
1694.0,2020.7157,2060.0
1662.0,2007.5665,2186.0
1658.0,2007.5665,2170.0
1563.0,1946.4017,2233.0
1589.0,1957.392,2211.0
1508.0,1890.5085,2106.0
1478.0,1885.9071,1824.0
1423.0,1857.5585,1941.0
1413.0,1857.5585,1825.0
1340.0,1793.7584,1657.0
1289.0,1744.6743,1517.0
1243.0,1740.947,1457.0
1189.0,1704.8989,1324.0
1115.0,1628.2164,1278.0
1084.0,1616.1775,1174.0
1086.0,1625.539,1194.0
1091.0,1625.539,1207.0
1139.0,1661.3501,1264.0
1120.0,1631.2064,1363.0
1098.0,1625.539,1534.0
1056.0,1614.3153,1730.0
1001.0,1568.9723,1854.0
918.0,1494.6617,1742.0
765.0,1408.384,1656.0
695.0,1359.0056,1694.0
437.0,1248.7124,1662.0
633.0,1339.733,1658.0
555.0,1302.7582,1563.0
543.0,1302.7582,1589.0
510.0,1287.4159,1508.0
480.0,1280.06,1478.0
470.0,1274.6372,1423.0
489.0,1280.06,1413.0
503.0,1280.06,1340.0
575.0,1310.6638,1289.0
663.0,1341.993,1243.0
741.0,1396.553,1189.0
787.0,1427.5057,1115.0
883.0,1487.6155,1084.0
888.0,1487.6155,1086.0
975.0,1569.2958,1091.0
1085.0,1616.1775,1139.0
1173.0,1663.1432,1120.0
1305.0,1763.9037,1098.0
1409.0,1857.516,1056.0
1524.0,1895.0432,1001.0
1669.0,2017.2502,918.0
1729.0,2038.7957,765.0
1799.0,2109.9438,695.0
1758.0,2053.6636,437.0
1721.0,2038.7957,633.0
1665.0,2007.5665,555.0
1679.0,2017.2502,543.0
1370.0,1821.1399,510.0
1225.0,1718.0201,480.0
1382.0,1824.9454,470.0
1392.0,1824.9454,489.0
1378.0,1824.9454,503.0
1401.0,1857.516,575.0
1436.0,1862.6156,663.0
1439.0,1862.6156,741.0
1434.0,1862.6156,787.0
1416.0,1857.5585,883.0
1381.0,1824.9454,888.0
1403.0,1857.516,975.0
1400.0,1857.516,1085.0
1406.0,1857.516,1173.0
1350.0,1805.125,1305.0
1394.0,1857.516,1409.0
1349.0,1805.125,1524.0
1303.0,1763.9037,1669.0
1293.0,1744.6743,1729.0
1276.0,1746.3431,1799.0
1360.0,1805.125,1758.0
1394.0,1857.516,1721.0
1369.0,1821.1399,1665.0
1434.0,1862.6156,1679.0
1638.0,1996.1885,1370.0
2915.0,2927.6494,1225.0
2207.0,2391.8586,1382.0
2284.0,2445.541,1392.0
2916.0,2927.6494,1378.0
2993.0,2967.4382,1401.0
2986.0,2967.4382,1436.0
