actual,xgboost_predicted,naive_predicted
8914.0,7823.741,9817.0
8720.0,7654.989,9329.0
8989.0,7868.05,9447.0
9203.0,8042.3467,9557.0
9039.0,7904.2915,9788.0
8639.0,7566.397,9980.0
8208.0,7260.356,9970.0
8240.0,7268.344,9882.0
7592.0,6800.276,10154.0
7471.0,6710.1123,10252.0
6936.0,6299.5215,10313.0
7172.0,6478.4688,10463.0
7488.0,6710.1123,10168.0
7955.0,7079.2217,9431.0
8516.0,7528.853,10087.0
8984.0,7868.05,9820.0
8933.0,7823.741,9824.0
8666.0,7598.4814,9767.0
9157.0,8042.3467,9728.0
9297.0,8112.17,9704.0
9448.0,8237.361,9832.0
10051.0,8776.661,9485.0
10028.0,8707.25,9257.0
9489.0,8237.361,5540.0
8902.0,7823.741,8914.0
8398.0,7320.0825,8720.0
7731.0,6849.71,8989.0
7158.0,6478.4688,9203.0
6425.0,5767.452,9039.0
5878.0,5223.3975,8639.0
5273.0,4737.0576,8208.0
4621.0,4246.92,8240.0
4237.0,3974.4885,7592.0
4034.0,3800.3386,7471.0
3880.0,3634.7522,6936.0
3524.0,3329.4575,7172.0
2990.0,2916.5635,7488.0
2682.0,2626.388,7955.0
2688.0,2626.388,8516.0
2545.0,2518.7874,8984.0
2571.0,2521.5728,8933.0
2913.0,2835.8948,8666.0
3309.0,3185.8384,9157.0
3622.0,3428.21,9297.0
3986.0,3721.0525,9448.0
4457.0,4125.0244,10051.0
4708.0,4303.526,10028.0
5014.0,4561.3013,9489.0
5271.0,4737.0576,8902.0
5451.0,4878.035,8398.0
5982.0,5349.404,7731.0
6312.0,5673.3223,7158.0
6427.0,5767.452,6425.0
6538.0,5903.7534,5878.0
7098.0,6410.9263,5273.0
7402.0,6651.054,4621.0
7589.0,6800.276,4237.0
7645.0,6824.731,4034.0
7807.0,6961.9727,3880.0
7602.0,6800.276,3524.0
7449.0,6710.1123,2990.0
7148.0,6478.4688,2682.0
6871.0,6216.195,2688.0
6358.0,5714.8447,2545.0
6041.0,5407.021,2571.0
5823.0,5214.185,2913.0
5648.0,5097.437,3309.0
5265.0,4737.0576,3622.0
5052.0,4585.6855,3986.0
4769.0,4383.1294,4457.0
4638.0,4303.526,4708.0
4552.0,4175.555,5014.0
4395.0,4044.409,5271.0
4387.0,4044.409,5451.0
4231.0,3891.1206,5982.0
3792.0,3540.076,6312.0
3410.0,3279.0898,6427.0
2976.0,2896.772,6538.0
2759.0,2724.1099,7098.0
2538.0,2518.7874,7402.0
2472.0,2451.8828,7589.0
2482.0,2451.8828,7645.0
2384.0,2390.6755,7807.0
2167.0,2200.8672,7602.0
1884.0,2005.1683,7449.0
1630.0,1822.9265,7148.0
1423.0,1671.7068,6871.0
1263.0,1595.4514,6358.0
1168.0,1504.6796,6041.0
965.0,1365.2166,5823.0
937.0,1329.614,5648.0
953.0,1365.2166,5265.0
995.0,1365.2166,5052.0
1137.0,1476.1866,4769.0
1178.0,1504.6796,4638.0
1293.0,1603.629,4552.0
1586.0,1801.3777,4395.0
1755.0,1910.0322,4387.0
2171.0,2231.111,4231.0
2443.0,2431.243,3792.0
2822.0,2752.8145,3410.0
2726.0,2665.5999,2976.0
2927.0,2853.9395,2759.0
2871.0,2820.049,2538.0
2953.0,2896.772,2472.0
3098.0,3001.1763,2482.0
3220.0,3102.4753,2384.0
2958.0,2896.772,2167.0
2756.0,2724.1099,1884.0
2376.0,2390.6755,1630.0
2263.0,2318.2585,1423.0
1997.0,2113.3237,1263.0
1816.0,1943.1411,1168.0
1772.0,1910.0322,965.0
1893.0,2005.1683,937.0
1874.0,2000.798,953.0
2063.0,2139.6777,995.0
2239.0,2272.8267,1137.0
2539.0,2518.7874,1178.0
2959.0,2896.772,1293.0
