actual,nn_predicted,naive_predicted
3964.0,3781.7212,1911.0
3994.0,3823.7039,3701.0
4008.0,3835.3699,3580.0
3817.0,3682.4587,3727.0
3496.0,3421.3472,3758.0
3349.0,3297.3186,3784.0
3292.0,3258.8796,3450.0
3170.0,3169.2,3345.0
2945.0,2976.0176,3556.0
2820.0,2844.9568,2961.0
2766.0,2782.3206,2952.0
2700.0,2700.243,2193.0
2391.0,2425.7234,2498.0
1947.0,2032.2462,2629.0
1585.0,1685.9374,2942.0
1441.0,1565.245,3041.0
1115.0,1272.3522,3153.0
935.0,1144.6486,3218.0
890.0,1113.6648,3100.0
1008.0,1215.4006,3266.0
1096.0,1299.9012,3305.0
1144.0,1341.9788,3264.0
1367.0,1546.7776,3716.0
1426.0,1598.3712,3901.0
1550.0,1708.1476,3964.0
1683.0,1806.8948,3994.0
1853.0,1955.0624,4008.0
2050.0,2103.9497,3817.0
2064.0,2154.529,3496.0
2166.0,2263.2412,3349.0
2323.0,2428.0852,3292.0
2644.0,2742.742,3170.0
2986.0,3062.431,2945.0
3165.0,3204.72,2820.0
3328.0,3331.425,2766.0
3679.0,3617.4111,2700.0
3783.0,3702.132,2391.0
3794.0,3707.8293,1947.0
3726.0,3667.078,1585.0
3655.0,3598.8855,1441.0
3285.0,3283.5469,1115.0
3168.0,3187.426,935.0
3098.0,3129.9875,890.0
3067.0,3101.5432,1008.0
3001.0,3047.217,1096.0
2921.0,2980.848,1144.0
2848.0,2915.7297,1367.0
2809.0,2875.9167,1426.0
2766.0,2856.41,1550.0
2762.0,2861.0916,1683.0
2811.0,2906.9043,1853.0
2713.0,2809.4604,2050.0
2363.0,2488.385,2064.0
2078.0,2229.2866,2166.0
1836.0,2007.6515,2323.0
1741.0,1937.5159,2644.0
1595.0,1809.241,2986.0
1587.0,1796.2821,3165.0
1601.0,1812.8005,3328.0
1536.0,1759.0922,3679.0
1390.0,1630.6528,3783.0
1185.0,1449.1997,3794.0
1020.0,1311.9148,3726.0
860.0,1168.976,3655.0
740.0,1056.9114,3285.0
651.0,974.50385,3168.0
519.0,872.6251,3098.0
481.0,838.29944,3067.0
491.0,840.3215,3001.0
489.0,826.4676,2921.0
523.0,858.35315,2848.0
484.0,827.377,2809.0
486.0,817.31146,2766.0
503.0,822.0919,2762.0
479.0,808.18835,2811.0
478.0,800.3757,2713.0
539.0,835.71606,2363.0
552.0,847.60657,2078.0
568.0,866.3962,1836.0
570.0,880.67096,1741.0
569.0,873.8555,1595.0
785.0,1059.017,1587.0
1040.0,1278.5162,1601.0
1096.0,1306.6085,1536.0
1016.0,1233.528,1390.0
925.0,1145.6309,1185.0
803.0,1061.6892,1020.0
942.0,1182.3506,860.0
795.0,1037.0604,740.0
684.0,933.9148,651.0
649.0,947.1934,519.0
758.0,1043.4429,481.0
651.0,947.17944,491.0
707.0,994.3294,489.0
641.0,933.93414,523.0
541.0,848.11743,484.0
552.0,859.8162,486.0
653.0,941.18854,503.0
742.0,991.4355,479.0
952.0,1186.5345,478.0
1138.0,1299.3508,539.0
1518.0,1655.2616,552.0
1717.0,1906.3011,568.0
1931.0,2106.7498,570.0
2310.0,2460.7766,569.0
2767.0,2881.8206,785.0
3190.0,3227.0999,1040.0
3252.0,3280.8066,1096.0
3326.0,3355.9543,1016.0
3186.0,3239.994,925.0
3368.0,3375.9436,803.0
3540.0,3523.8425,942.0
3991.0,3884.7153,795.0
4044.0,3926.9722,684.0
4028.0,3913.982,649.0
3911.0,3841.3862,758.0
3507.0,3519.3357,651.0
3355.0,3395.085,707.0
3016.0,3117.294,641.0
2779.0,2862.6677,541.0
2551.0,2651.4263,552.0
2351.0,2481.5002,653.0
2146.0,2255.5574,742.0
1759.0,1899.4833,952.0
1271.0,1457.9749,1138.0
1283.0,1485.5538,1518.0
1195.0,1415.1213,1717.0
935.0,1216.96,1931.0
871.0,1174.1382,2310.0
625.0,944.1202,2767.0
598.0,932.5557,3190.0
571.0,914.6317,3252.0
575.0,928.8016,3326.0
595.0,949.25665,3186.0
764.0,1095.7284,3368.0
694.0,1035.1034,3540.0
462.0,846.47675,3991.0
563.0,934.24066,4044.0
643.0,1009.3978,4028.0
820.0,1159.2698,3911.0
1039.0,1349.1676,3507.0
1144.0,1444.8312,3355.0
1425.0,1703.0298,3016.0
1330.0,1633.5604,2779.0
1157.0,1470.1378,2551.0
1052.0,1370.4208,2351.0
982.0,1299.6583,2146.0
863.0,1174.1925,1759.0
849.0,1139.3002,1271.0
686.0,1010.8216,1283.0
766.0,1089.3698,1195.0
738.0,1075.1993,935.0
758.0,1118.831,871.0
880.0,1212.0328,625.0
845.0,1184.8478,598.0
878.0,1206.8092,571.0
715.0,1044.9454,575.0
653.0,992.29785,595.0
661.0,947.4557,764.0
